date,DSE,Bank,Cement,Ceramics,Engineering,NBFI,Food,Fuel,Insurance,IT,Jute,Miscellaneous,Mutual_Fund,Paper,Pharmaceuticals,Service_Real_Estate,Tannery,Textile,Travel_Leisure,Telecommunication,Total Volume,DSEX
1/12/2025,3555.13,3244.52,2296.61,623.877,1721.22,1287.65,18882.5,1992.82,3196.71,1541.98,6264.8,3982.02,517.37,145.912,4365.49,2241.29,2412.33,1693.09,1285,4389.62,133764101,5156.22938
1/9/2025,3584.98,3289.73,2360.41,621.937,1735.84,1301.37,19088.1,2010.19,3218.93,1573.05,6312.65,3946.63,517.865,145.362,4389.4,2292.92,2437.02,1711.59,1309.03,4376.35,116622096,5194.43347
1/8/2025,3579.47,3293.44,2365.53,626.989,1735.67,1305.78,18963.8,2006.71,3216.65,1556.93,6245.89,3910.84,512.573,144.164,4400.6,2277.23,2438.71,1704.31,1310.43,4305.83,127359326,5185.00084
1/7/2025,3586.15,3301.65,2375.45,627.503,1733.67,1316.51,19014.3,2010.71,3241.62,1533.19,6355.63,3915.56,514.967,145.172,4405.03,2305.07,2432.34,1698.86,1318.72,4311.44,171488262,5190.77791
1/6/2025,3587.67,3297.75,2385.63,632.731,1729.13,1308.23,19160.3,2005.13,3256.88,1538.99,6536.65,3913.66,513.581,143.849,4416.72,2318.95,2426.5,1690.18,1313.93,4312.34,128791930,5198.84249
1/5/2025,3571.46,3307.1,2372.18,630.783,1726.85,1298.43,19110,1992.36,3222.82,1498.17,6208.45,3876.18,510.692,140.322,4373.22,2294.82,2423.04,1685.59,1323.16,4283.12,111096698,5165.1677
1/2/2025,3592.47,3325.37,2392.27,640.683,1743.58,1313.64,19198.3,1999.69,3254.18,1510.96,6417.06,3872.94,514.148,140.489,4399.35,2345.72,2429.41,1703.15,1331.24,4288.44,133275999,5199.61657
1/1/2025,3597.43,3281.95,2415.85,637.151,1745.33,1321.04,19477.8,2018.35,3280.56,1536.5,6577.94,3884.33,515.913,140.389,4433.78,2373.79,2458.32,1696.8,1347.14,4318.59,116064157,5218.15975
12/30/2024,3592.34,3245.21,2428.95,640.612,1746.52,1314.92,19504.3,2016.01,3307.67,1543.21,6638.67,3897.88,518.79,139.05,4461.46,2366.01,2461.48,1699.37,1336.18,4263.56,119962618,5216.44276
12/29/2024,3586.62,3241,2414.7,644.061,1749.42,1320.97,19225.7,2011.42,3312.84,1539.34,6708.68,3911.9,514.717,138.986,4455.22,2392.81,2464.73,1701.54,1331.26,4250.76,119969735,5204.77948
12/26/2024,3574.89,3225.41,2418.02,639.091,1737.1,1320.49,19048.2,1997.71,3278.78,1538.87,6762.63,3907.78,509.891,137.233,4473.88,2384.31,2436.49,1691.74,1324.71,4224.65,94519386,5184.44633
12/24/2024,3569.63,3230.76,2411.65,634.997,1730.03,1318.86,18877.5,2003.92,3265.02,1546.65,6654.27,3895.53,511.444,137.734,4460.71,2362.53,2433.94,1688.36,1324.38,4225.56,108336871,5169.32268
12/23/2024,3561.69,3215.12,2415.49,638.2,1725.18,1317.5,18881.3,1993.57,3274.88,1535.73,6729.69,3889.54,512.713,135.866,4456.86,2350.75,2390.39,1681.17,1327.71,4230.25,106234254,5170.79421
12/22/2024,3577.71,3225.6,2432.48,639.532,1732.72,1334.3,18790,2012.54,3281.44,1530.98,6785.4,3880.07,512.611,136.172,4504.73,2380.69,2404.09,1676.35,1330.2,4264.15,109843704,5196.41038
12/19/2024,3597.94,3238.2,2446.7,650.242,1748.55,1345.34,18785.8,2033.57,3301.04,1537.32,6861.07,3880.78,513.281,137.856,4535.22,2429.59,2430.55,1702.78,1343.09,4267.02,101495549,5221.57273
12/18/2024,3590.69,3231.2,2459.57,648.846,1754.13,1348.73,18743.3,2037.94,3305.94,1555.88,6877.04,3868.43,516.471,137.858,4508.85,2444.75,2441.79,1694.49,1339.36,4239.3,134944552,5208.2084
12/17/2024,3608.08,3253.12,2469.16,657.381,1773.36,1367.37,18839.9,2049.78,3338.48,1550.33,6982.57,3879.39,522.129,141.32,4520.85,2453.14,2442.57,1708.96,1355.58,4164.4,147191515,5224.58344
